ID,Artist,Name Modifier,First Name,Last Name,Full Name,Hammer price,Price Bracket (millions),Average Price,Given Artwork Title,Scrubbed Artwork Title,Date Created,Sale Info,Day,Month,Date Sold,Auction House,City,location,Citation
78,ZOFFANY Johan Joseph,,Johan Joseph,Zoffany,Johan Joseph Zoffany,"$9,373,200.00 ",8-10,"$17,743,723.03 ","The Garden at Hampton House, with Mr and Mrs [...] (1762)","The Garden at Hampton House, with Mr and Mrs [...]",1762,07 december (Sotheby's LONDON),07,December,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Johan Joseph Zoffany, The Garden at Hampton House, with Mr and Mrs [...] (1762), sold at (Sotheby's LONDON) for $9373200"
79,GAINSBOROUGH Thomas,,Thomas,Gainsborough,Thomas Gainsborough,"$9,325,820.00 ",8-10,"$17,743,723.03 ","Portrait of Mrs. William Villebois, full-length [...] (1777)","Portrait of Mrs. William Villebois, full-length [...]",1777,05 july (Christie's LONDON),05,July,2011,(Christie's LONDON),London,"51.498382, -0.126210","Thomas Gainsborough, Portrait of Mrs. William Villebois, full-length [...] (1777), sold at (Christie's LONDON) for $9325820"
80,FAN Zeng,,Zeng,Fan,Zeng Fan,"$9,258,000.00 ",8-10,"$17,743,723.03 ",Figure (1997),Figure,1997,09 june (Beijing Jiuge International),09,June,2011,(Beijing Jiuge International),Beijing,"39.907288, 116.399519","Zeng Fan, Figure (1997), sold at (Beijing Jiuge International) for $9258000"
81,GAUGUIN Paul,,Paul,Gauguin,Paul Gauguin,"$9,216,900.00 ",8-10,"$17,743,723.03 ",Le vallon (1892),Le vallon,1892,21 june (Christie's LONDON),21,June,2011,(Christie's LONDON),London,"51.498382, -0.126210","Paul Gauguin, Le vallon (1892), sold at (Christie's LONDON) for $9216900"
82,SHI Tao,,Tao,Shi,Tao Shi,"$9,169,800.00 ",8-10,"$17,743,723.03 ",Arhat (1666),Arhat,1666,05 december (Poly International BEIJING),05,December,2011,(Poly International BEIJING),Beijing,"39.907288, 116.399519","Tao Shi, Arhat (1666), sold at (Poly International BEIJING) for $9169800"
83,ZHANG Xiaogang,,Xiaogang,Zhang,Xiaogang Zhang,"$9,002,000.00 ",8-10,"$17,743,723.03 ",Forever Lasting Love (1988),Forever Lasting Love,1988,03 april (Sotheby's HK),03,April,2011,(Sotheby's HK),Hong Kong,"40.712592, -74.006542","Xiaogang Zhang, Forever Lasting Love (1988), sold at (Sotheby's HK) for $9002000"
84,MAGRITTE René,,René,Magritte,René Magritte,"$9,000,000.00 ",8-10,"$17,743,723.03 ",Les vacances de Hegel (1958),Les vacances de Hegel,1958,01 november (Christie's NY),01,November,2011,(Christie's NY),New York,"40.712592, -74.006542","René Magritte, Les vacances de Hegel (1958), sold at (Christie's NY) for $9000000"
85,DOIG Peter,,Peter,Doig,Peter Doig,"$8,778,000.00 ",8-10,"$17,743,723.03 ",Red boat (Imaginary boys) (2003),Red boat (Imaginary boys),2003,28 june (Christie's LONDON),28,June,2011,(Christie's LONDON),London,"51.498382, -0.126210","Peter Doig, Red boat (Imaginary boys) (2003), sold at (Christie's LONDON) for $8778000"
86,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$8,700,000.00 ",8-10,"$17,743,723.03 ",Four Campbell's Soup Cans (1962),Four Campbell's Soup Cans,1962,08 november (Christie's NY),08,November,2011,(Christie's NY),New York,"40.712592, -74.006542","Andy Warhol, Four Campbell's Soup Cans (1962), sold at (Christie's NY) for $8700000"
87,QI Baishi,,Baishi,Qi,Baishi Qi,"$8,695,500.00 ",8-10,"$17,743,723.03 ",Landscape,Landscape,n/a,20 november (Beijing Highest BEIJING),20,November,2011,(Beijing Highest BEIJING),Beijing,"39.907288, 116.399519","Baishi Qi, Landscape (n/a), sold at (Beijing Highest BEIJING) for $8695500"
88,BACON Francis,,Francis,Bacon,Francis Bacon,"$8,500,000.00 ",8-10,"$17,743,723.03 ",Untitled (Crouching Nude on Rail) (1952),Untitled (Crouching Nude on Rail),1952,11 may (Christie's NY),11,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Francis Bacon, Untitled (Crouching Nude on Rail) (1952), sold at (Christie's NY) for $8500000"
89,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$8,500,000.00 ",8-10,"$17,743,723.03 ",Couple á la guitare (1970),Couple á la guitare,1970,03 may (Sotheby's NY),03,May,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Pablo Picasso, Couple á la guitare (1970), sold at (Sotheby's NY) for $8500000"
90,WU Guanzhong,,Guanzhong,Wu,Guanzhong Wu,"$8,492,000.00 ",8-10,"$17,743,723.03 ",Shrubalthea (1975),Shrubalthea,1975,03 june (Poly International BEIJING),03,June,2011,(Poly International BEIJING),Beijing,"39.907288, 116.399519","Guanzhong Wu, Shrubalthea (1975), sold at (Poly International BEIJING) for $8492000"
91,ZHANG Daqian,,Daqian,Zhang,Daqian Zhang,"$8,481,000.00 ",8-10,"$17,743,723.03 ",Children Playing under a Pomegranate Tree (1948),Children Playing under a Pomegranate Tree,1948,31 may (Sotheby's HK),31,May,2011,(Sotheby's HK),Hong Kong,"22.283970, 114.160031","Daqian Zhang, Children Playing under a Pomegranate Tree (1948), sold at (Sotheby's HK) for $8481000"
92,DERAIN André,,André,Derain,André Derain,"$8,383,440.00 ",8-10,"$17,743,723.03 ",Bateaux á Collioure (1905),Bateaux á Collioure,1905,09 february (Christie's LONDON),09,February,2011,(Christie's LONDON),London,"51.498382, -0.126210","André Derain, Bateaux á Collioure (1905), sold at (Christie's LONDON) for $8383440"
93,QI Baishi,,Baishi,Qi,Baishi Qi,"$8,337,600.00 ",8-10,"$17,743,723.03 ",Grass and insects (1924),Grass and insects,1924,03 june (Poly International BEIJING),03,June,2011,(Poly International BEIJING),Beijing,"39.907288, 116.399519","Baishi Qi, Grass and insects (1924), sold at (Poly International BEIJING) for $8337600"
94,MITCHELL Joan,,Joan,Mitchell,Joan Mitchell,"$8,250,000.00 ",8-10,"$17,743,723.03 ",Untitled (1960),Untitled,1960,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Joan Mitchell, Untitled (1960), sold at (Sotheby's NY) for $8250000"
95,MONET Claude,,Claude,Monet,Claude Monet,"$8,200,000.00 ",8-10,"$17,743,723.03 ","Antibes, Le Fort (1888)","Antibes, Le Fort",1888,02 november (Sotheby's NY),02,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Claude Monet, Antibes, Le Fort (1888), sold at (Sotheby's NY) for $8200000"
96,VELDE Willem van de,The Younger,Willem Van De,Velde The Younger,Willem Van De Velde The Younger,"$8,191,575.00 ",8-10,"$17,743,723.03 ",Dutch men-o'-war and other shipping in a calm (1665),Dutch men-o'-war and other shipping in a calm,1665,06 december (Christie's LONDON),06,December,2011,(Christie's LONDON),London,"51.498382, -0.126210","Willem Van De Velde The Younger, Dutch men-o'-war and other shipping in a calm (1665), sold at (Christie's LONDON) for $8191575"
97,STAËL de Nicolas,,De Nicolas,Staël,De Nicolas Staël,"$8,171,320.00 ",8-10,"$17,743,723.03 ","Nu couché, (Nu) (1953)","Nu couché, (Nu)",1953,06 december (Artcurial (S.V.V.) PARIS),06,December,2011,(Artcurial (S.V.V.) PARIS),Paris,"51.498382, -0.126210","De Nicolas Staël, Nu couché, (Nu) (1953), sold at (Artcurial (S.V.V.) PARIS) for $8171320"
98,POLKE Sigmar,,Sigmar,Polke,Sigmar Polke,"$8,150,310.00 ",8-10,"$17,743,723.03 ",Dschungel (Jungle) (1967),Dschungel (Jungle),1967,29 june (Sotheby's LONDON),29,June,2011,(Sotheby's LONDON),London,"40.712592, -74.006542","Sigmar Polke, Dschungel (Jungle) (1967), sold at (Sotheby's LONDON) for $8150310"
99,HUANG Zhou,,Zhou,Huang,Zhou Huang,"$8,116,499.00 ",8-10,"$17,743,723.03 ",Horse training (1976),Horse training,1976,22 may (China Guardian BEIJING),22,May,2011,(China Guardian BEIJING),Beijing,"39.907288, 116.399519","Zhou Huang, Horse training (1976), sold at (China Guardian BEIJING) for $8116499"
100,TOULOUSE-LAUTREC Henri de,,Henri De,Toulouse-Lautrec,Henri De Toulouse-Lautrec,"$8,109,499.00 ",8-10,"$17,743,723.03 ",La liseuse (1889),La liseuse,1889,22 june (Sotheby's LONDON),22,June,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Henri De Toulouse-Lautrec, La liseuse (1889), sold at (Sotheby's LONDON) for $8109499"
